~~~~~~~
start: ,2023-03-30 13:25:15
Total SYN/m: ,912
Average SYN/s in last minute: ,15.20
Total SYN/m: ,714
Average SYN/s in last minute: ,11.90
Total SYN/m: ,715
Average SYN/s in last minute: ,11.92
Total SYN/m: ,621
Average SYN/s in last minute: ,10.35
Total SYN/m: ,766
Average SYN/s in last minute: ,12.77
end: ,2023-03-30 13:30:47
duration: ,0:05:31
Total SYN: ,4064
Average SYN/s: ,12.26
~~~~~~~
start: ,2023-04-07 19:47:54
Total SYN/m: ,5487007
Average SYN/s in last minute: ,91450.12
Total SYN/m: ,7416459
Average SYN/s in last minute: ,123607.65
Total SYN/m: ,6911602
Average SYN/s in last minute: ,115193.37
Total SYN/m: ,6604074
Average SYN/s in last minute: ,110067.90
Total SYN/m: ,6167542
Average SYN/s in last minute: ,102792.37
end: ,2023-04-07 19:53:17
duration: ,0:05:22
Total SYNs: ,34821600
Average SYN/s: ,107936.46
~~~~~~~
start: ,2023-04-09 14:13:55
Total SYN/m: ,961
Average SYN/s in last minute: ,16.02
Total SYN/m: ,1005
Average SYN/s in last minute: ,16.75
Total SYN/m: ,1296
Average SYN/s in last minute: ,21.60
Total SYN/m: ,932
Average SYN/s in last minute: ,15.53
Total SYN/m: ,1120
Average SYN/s in last minute: ,18.67
Total SYN/m: ,1122
Average SYN/s in last minute: ,18.70
Total SYN/m: ,1136
Average SYN/s in last minute: ,18.93
Total SYN/m: ,1003
Average SYN/s in last minute: ,16.72
Total SYN/m: ,973
Average SYN/s in last minute: ,16.22
Total SYN/m: ,881
Average SYN/s in last minute: ,14.68
Total SYN/m: ,1013
Average SYN/s in last minute: ,16.88
Total SYN/m: ,938
Average SYN/s in last minute: ,15.63
Total SYN/m: ,890
Average SYN/s in last minute: ,14.83
Total SYN/m: ,1079
Average SYN/s in last minute: ,17.98
Total SYN/m: ,1080
Average SYN/s in last minute: ,18.00
Total SYN/m: ,1076
Average SYN/s in last minute: ,17.93
Total SYN/m: ,1106
Average SYN/s in last minute: ,18.43
Total SYN/m: ,973
Average SYN/s in last minute: ,16.22
Total SYN/m: ,1075
Average SYN/s in last minute: ,17.92
Total SYN/m: ,952
Average SYN/s in last minute: ,15.87
Total SYN/m: ,918
Average SYN/s in last minute: ,15.30
Total SYN/m: ,1065
Average SYN/s in last minute: ,17.75
Total SYN/m: ,899
Average SYN/s in last minute: ,14.98
Total SYN/m: ,1273
Average SYN/s in last minute: ,21.22
Total SYN/m: ,1082
Average SYN/s in last minute: ,18.03
Total SYN/m: ,1132
Average SYN/s in last minute: ,18.87
Total SYN/m: ,870
Average SYN/s in last minute: ,14.50
Total SYN/m: ,969
Average SYN/s in last minute: ,16.15
Total SYN/m: ,967
Average SYN/s in last minute: ,16.12
Total SYN/m: ,957
Average SYN/s in last minute: ,15.95
Total SYN/m: ,1106
Average SYN/s in last minute: ,18.43
Total SYN/m: ,788
Average SYN/s in last minute: ,13.13
Total SYN/m: ,866
Average SYN/s in last minute: ,14.43
Total SYN/m: ,851
